===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,Sample01,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
115,,115,2010-06-17 00:00:00,9.66428565979004,9.746429443359377,9.625,9.709643363952637,872855200.0,,Sample01,115,733940.0,Broker,115,99922.95194678307,100020.0483804226,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,,116,2010-06-18 00:00:00,9.723214149475098,9.821429252624512,9.693571090698242,9.788213729858398,784621600.0,,Sample01,116,733941.0,Broker,116,99922.95194678307,100020.83408408165,BuySell,116,,,Trades - Net Profit/Loss,116,,
117,,117,2010-06-21 00:00:00,9.917499542236328,9.964642524719238,9.59749984741211,9.64892864227295,776490400.0,,Sample01,117,733944.0,Broker,117,99922.95194678307,100019.4412332058,BuySell,117,,,Trades - Net Profit/Loss,117,,
118,,118,2010-06-22 00:00:00,9.720000267028809,9.856071472167969,9.696429252624512,9.780357360839844,717262000.0,,Sample01,118,733945.0,Broker,118,99922.95194678307,100020.75552039147,BuySell,118,,,Trades - Net Profit/Loss,118,,
119,,119,2010-06-23 00:00:00,9.806428909301758,9.809286117553713,9.567856788635254,9.677499771118164,768457200.0,,Sample01,119,733946.0,Broker,119,99922.95194678307,100019.72694449425,BuySell,119,,,Trades - Net Profit/Loss,119,,
120,,120,2010-06-24 00:00:00,9.678570747375488,9.757143020629885,9.574999809265137,9.60714340209961,714277200.0,,Sample01,120,733947.0,Broker,120,99922.95194678307,100019.02338080406,BuySell,120,,,Trades - Net Profit/Loss,120,,
121,,121,2010-06-25 00:00:00,9.645000457763672,9.65250015258789,9.493213653564451,9.524999618530272,549942400.0,,Sample01,121,733948.0,Broker,121,99922.95194678307,100018.20194296837,BuySell,121,,,Trades - Net Profit/Loss,121,,
122,,122,2010-06-28 00:00:00,9.53321361541748,9.633929252624512,9.447142601013184,9.58214282989502,584948000.0,,Sample01,122,733951.0,Broker,122,99922.95194678307,100018.77337508202,BuySell,122,,,Trades - Net Profit/Loss,122,,
123,,123,2010-06-29 00:00:00,9.432856559753418,9.442500114440918,9.08214282989502,9.14892864227295,1133344800.0,,Sample01,123,733952.0,Broker,123,99922.95194678307,100014.4412332058,BuySell,123,,,Trades - Net Profit/Loss,123,,
124,,124,2010-06-30 00:00:00,9.168213844299316,9.213213920593262,8.928929328918457,8.983214378356934,739452000.0,,Sample01,124,733953.0,Broker,124,100014.54240308762,100014.54240308762,BuySell,124,,9.35141212940216,Trades - Net Profit/Loss,124,0.08475254058837889,
125,,125,2010-07-01 00:00:00,9.08214282989502,9.100000381469728,8.686429023742676,8.874285697937012,1022896000.0,,Sample01,125,733954.0,Broker,125,100014.54240308762,100014.54240308762,BuySell,125,,,Trades - Net Profit/Loss,125,,
126,,126,2010-07-02 00:00:00,8.946070671081543,8.961786270141602,8.685713768005371,8.819286346435547,693842800.0,,Sample01,126,733955.0,Broker,126,100014.54240308762,100014.54240308762,BuySell,126,,,Trades - Net Profit/Loss,126,,
127,,127,2010-07-06 00:00:00,8.964285850524902,9.028571128845217,8.791428565979004,8.879643440246582,615235600.0,,Sample01,127,733959.0,Broker,127,100014.54240308762,100014.54240308762,BuySell,127,,,Trades - Net Profit/Loss,127,,
128,,128,2010-07-07 00:00:00,8.946070671081543,9.241786003112791,8.91964340209961,9.238213539123535,654556000.0,,Sample01,128,733960.0,Broker,128,100014.54240308762,100014.54240308762,BuySell,128,,,Trades - Net Profit/Loss,128,,
129,,129,2010-07-08 00:00:00,9.374285697937012,9.389286041259766,9.103214263916016,9.217499732971191,738144400.0,,Sample01,129,733961.0,Broker,129,100014.54240308762,100014.54240308762,BuySell,129,,,Trades - Net Profit/Loss,129,,
130,,130,2010-07-09 00:00:00,9.174642562866213,9.282142639160156,9.1128568649292,9.272143363952637,433322400.0,,Sample01,130,733962.0,Broker,130,100014.54240308762,100014.54240308762,BuySell,130,,,Trades - Net Profit/Loss,130,,
131,,131,2010-07-12 00:00:00,9.233214378356934,9.35178565979004,9.102143287658691,9.188928604125977,562878400.0,,Sample01,131,733965.0,Broker,131,100014.54240308762,100014.54240308762,BuySell,131,,,Trades - Net Profit/Loss,131,,
132,,132,2010-07-13 00:00:00,9.15428638458252,9.157142639160156,8.801071166992188,8.992856979370117,1190924000.0,,Sample01,132,733966.0,Broker,132,100014.54240308762,100014.54240308762,BuySell,132,,,Trades - Net Profit/Loss,132,,
133,,133,2010-07-14 00:00:00,8.906429290771484,9.135713577270508,8.89285659790039,9.026070594787598,812047600.0,,Sample01,133,733967.0,Broker,133,100014.54240308762,100014.54240308762,BuySell,133,,,Trades - Net Profit/Loss,133,,
134,,134,2010-07-15 00:00:00,8.865357398986816,9.177499771118164,8.83214282989502,8.98035717010498,824866000.0,,Sample01,134,733968.0,Broker,134,100014.54240308762,100014.54240308762,BuySell,134,,,Trades - Net Profit/Loss,134,,
135,,135,2010-07-16 00:00:00,9.042142868041992,9.106071472167969,8.871786117553711,8.925000190734863,1039858400.0,,Sample01,135,733969.0,Broker,135,100014.54240308762,100014.54240308762,BuySell,135,,,Trades - Net Profit/Loss,135,,
136,,136,2010-07-19 00:00:00,8.924285888671875,8.924285888671875,8.557143211364746,8.770713806152344,1024478000.0,,Sample01,136,733972.0,Broker,136,100014.54240308762,100014.54240308762,BuySell,136,,,Trades - Net Profit/Loss,136,,
137,,137,2010-07-20 00:00:00,8.675000190734863,9.032142639160156,8.571785926818848,8.996070861816406,1074950800.0,,Sample01,137,733973.0,Broker,137,100014.54240308762,100014.54240308762,BuySell,137,,,Trades - Net Profit/Loss,137,,
138,,138,2010-07-21 00:00:00,9.467499732971191,9.469642639160156,9.071429252624512,9.079999923706056,1185671200.0,,Sample01,138,733974.0,Broker,138,100014.54240308762,100014.54240308762,BuySell,138,,,Trades - Net Profit/Loss,138,,
139,,139,2010-07-22 00:00:00,9.20285701751709,9.285714149475098,9.118213653564451,9.250714302062988,645318800.0,,Sample01,139,733975.0,Broker,139,99922.42180434227,100014.9289473629,BuySell,139,8.981440448760985,,Trades - Net Profit/Loss,139,,
140,,140,2010-07-23 00:00:00,9.181785583496094,9.299285888671877,9.152856826782228,9.283571243286133,533388800.0,,Sample01,140,733976.0,Broker,140,99922.42180434227,100015.25751677513,BuySell,140,,,Trades - Net Profit/Loss,140,,
141,,141,2010-07-26 00:00:00,9.285714149475098,9.28928565979004,9.20392894744873,9.260000228881836,420551600.0,,Sample01,141,733979.0,Broker,141,99922.42180434227,100015.02180663109,BuySell,141,,,Trades - Net Profit/Loss,141,,
142,,142,2010-07-27 00:00:00,9.31678581237793,9.45714282989502,9.296428680419922,9.431428909301758,584771600.0,,Sample01,142,733980.0,Broker,142,99922.42180434227,100016.73609343529,BuySell,142,,,Trades - Net Profit/Loss,142,,
143,,143,2010-07-28 00:00:00,9.416786193847656,9.499643325805664,9.29464340209961,9.31999969482422,519985200.0,,Sample01,143,733981.0,Broker,143,99922.42180434227,100015.62180129052,BuySell,143,,,Trades - Net Profit/Loss,143,,
144,,144,2010-07-29 00:00:00,9.311071395874023,9.380356788635254,9.146429061889648,9.21821403503418,643806800.0,,Sample01,144,733982.0,Broker,144,99922.42180434227,100014.60394469262,BuySell,144,,,Trades - Net Profit/Loss,144,,
145,,145,2010-07-30 00:00:00,9.13892936706543,9.274999618530272,9.103570938110352,9.1875,448210000.0,,Sample01,145,733983.0,Broker,145,99922.42180434227,100014.29680434227,BuySell,145,,,Trades - Net Profit/Loss,145,,
146,,146,2010-08-02 00:00:00,9.30142879486084,9.378213882446287,9.272143363952637,9.35178565979004,428055600.0,,Sample01,146,733986.0,Broker,146,99922.42180434227,100015.93966094017,BuySell,146,,,Trades - Net Profit/Loss,146,,
147,,147,2010-08-03 00:00:00,9.321785926818848,9.402142524719238,9.265000343322754,9.354642868041992,417653600.0,,Sample01,147,733987.0,Broker,147,99922.42180434227,100015.9682330227,BuySell,147,,,Trades - Net Profit/Loss,147,,
148,,148,2010-08-04 00:00:00,9.3871431350708,9.438570976257324,9.296786308288574,9.39214324951172,420375200.0,,Sample01,148,733988.0,Broker,148,99922.42180434227,100016.34323683739,BuySell,148,,,Trades - Net Profit/Loss,148,,
