===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,Sample01,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
13,,13,2010-01-21 00:00:00,7.574285984039307,7.618214130401611,7.400356769561768,7.431070804595947,608154400.0,,Sample01,13,733793.0,Broker,13,100000.0,100000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2010-01-22 00:00:00,7.385000228881836,7.410714149475098,7.041429042816162,7.0625,881767600.0,,Sample01,14,733794.0,Broker,14,100000.0,100000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2010-01-25 00:00:00,7.232500076293945,7.310713768005371,7.1496429443359375,7.252500057220459,1065699600.0,,Sample01,15,733797.0,Broker,15,100000.0,100000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2010-01-26 00:00:00,7.35535717010498,7.632500171661377,7.235000133514404,7.355000019073486,1867110000.0,,Sample01,16,733798.0,Broker,16,100000.0,100000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2010-01-27 00:00:00,7.387499809265137,7.520713806152344,7.126070976257324,7.424285888671875,1722568400.0,,Sample01,17,733799.0,Broker,17,100000.0,100000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2010-01-28 00:00:00,7.318929195404053,7.339285850524902,7.096428871154785,7.117499828338623,1173502400.0,,Sample01,18,733800.0,Broker,18,100000.0,100000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2010-01-29 00:00:00,7.181428909301758,7.221428871154785,6.794642925262451,6.859285831451416,1245952400.0,,Sample01,19,733801.0,Broker,19,100000.0,100000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2010-02-01 00:00:00,6.870357036590576,7.0,6.83214282989502,6.9546427726745605,749876400.0,,Sample01,20,733804.0,Broker,20,100000.0,100000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2010-02-02 00:00:00,6.996786117553711,7.0114288330078125,6.906428813934326,6.994999885559082,698342400.0,,Sample01,21,733805.0,Broker,21,100000.0,100000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2010-02-03 00:00:00,6.9703569412231445,7.150000095367432,6.943571090698242,7.115356922149658,615328000.0,,Sample01,22,733806.0,Broker,22,100000.0,100000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2010-02-04 00:00:00,7.026071071624756,7.084642887115479,6.841785907745361,6.85892915725708,757652000.0,,Sample01,23,733807.0,Broker,23,100000.0,100000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2010-02-05 00:00:00,6.879642963409424,7.0,6.816071033477783,6.980713844299316,850306800.0,,Sample01,24,733808.0,Broker,24,100000.0,100000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2010-02-08 00:00:00,6.98892879486084,7.067142963409424,6.928571224212647,6.932857036590576,478270800.0,,Sample01,25,733811.0,Broker,25,100000.0,100000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2010-02-09 00:00:00,7.014999866485596,7.053571224212647,6.955357074737549,7.006785869598389,632886800.0,,Sample01,26,733812.0,Broker,26,100000.0,100000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2010-02-10 00:00:00,6.996070861816406,7.021429061889648,6.937857151031494,6.968571186065674,370361600.0,,Sample01,27,733813.0,Broker,27,100000.0,100000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2010-02-11 00:00:00,6.960000038146973,7.1339287757873535,6.930714130401611,7.0953569412231445,550345600.0,,Sample01,28,733814.0,Broker,28,100000.0,100000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2010-02-12 00:00:00,7.075356960296631,7.201428890228272,6.982142925262451,7.156428813934326,655468800.0,,Sample01,29,733815.0,Broker,29,99929.17567682744,100000.73996496678,BuySell,29,6.877410781383515,,Trades - Net Profit/Loss,29,,
30,,30,2010-02-16 00:00:00,7.2121429443359375,7.2746429443359375,7.197143077850342,7.264286041259766,543737600.0,,Sample01,30,733819.0,Broker,30,99929.17567682744,100001.81853724003,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2010-02-17 00:00:00,7.292500019073486,7.296785831451416,7.1735711097717285,7.23392915725708,436396800.0,,Sample01,31,733820.0,Broker,31,99929.17567682744,100001.5149684,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2010-02-18 00:00:00,7.201070785522461,7.28178596496582,7.175714015960693,7.247499942779541,422825200.0,,Sample01,32,733821.0,Broker,32,99929.17567682744,100001.65067625523,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2010-02-19 00:00:00,7.209286212921143,7.257143020629883,7.182499885559082,7.202499866485596,415469600.0,,Sample01,33,733822.0,Broker,33,99929.17567682744,100001.20067549229,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2010-02-22 00:00:00,7.226428985595703,7.232142925262451,7.11392879486084,7.1578569412231445,390563600.0,,Sample01,34,733825.0,Broker,34,99929.17567682744,100000.75424623967,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2010-02-23 00:00:00,7.142857074737549,7.190357208251953,6.989643096923828,7.037857055664063,575094800.0,,Sample01,35,733826.0,Broker,35,99929.17567682744,99999.55424738408,BuySell,35,,,Trades - Net Profit/Loss,35,,
